Episode 250, Reward: -437.90, Average Reward: -87.58, Loss: 71.20, value_loss: 9.14
Episode 251, Reward: -803.10, Average Reward: -89.23, Loss: 80.02, value_loss: 8.16
Episode 252, Reward: -185.90, Average Reward: -92.95, Loss: 44.28, value_loss: 14.84
Episode 253, Reward: -798.60, Average Reward: -88.73, Loss: 36.40, value_loss: 11.06
Episode 254, Reward: -180.90, Average Reward: -90.45, Loss: 52.04, value_loss: 14.01
Episode 255, Reward: -444.50, Average Reward: -88.90, Loss: 45.70, value_loss: 8.02
Episode 256, Reward: -714.20, Average Reward: -89.27, Loss: 79.01, value_loss: 10.70
Episode 257, Reward: -179.50, Average Reward: -89.75, Loss: 39.48, value_loss: 13.74
Episode 258, Reward: -529.70, Average Reward: -88.28, Loss: 43.51, value_loss: 9.84
Episode 259, Reward: -796.30, Average Reward: -88.48, Loss: 53.96, value_loss: 7.79
Episode 260, Reward: -363.00, Average Reward: -90.75, Loss: 41.10, value_loss: 8.82
Episode 261, Reward: -269.30, Average Reward: -89.77, Loss: 54.94, value_loss: 7.76
Episode 262, Reward: -182.20, Average Reward: -91.10, Loss: 38.09, value_loss: 8.76
Episode 263, Reward: -264.40, Average Reward: -88.13, Loss: 71.24, value_loss: 12.32
Episode 264, Reward: -453.30, Average Reward: -90.66, Loss: 57.79, value_loss: 11.67
Episode 265, Reward: -1004.91, Average Reward: -100.49, Loss: 9.70, value_loss: 49.58
Episode 266, Reward: -346.70, Average Reward: -86.68, Loss: 95.31, value_loss: 12.91
Episode 267, Reward: -375.70, Average Reward: -93.93, Loss: 43.75, value_loss: 23.03
Episode 268, Reward: -800.90, Average Reward: -88.99, Loss: 86.79, value_loss: 17.64
Episode 269, Reward: -803.90, Average Reward: -89.32, Loss: 52.30, value_loss: 17.17
Episode 270, Reward: -655.30, Average Reward: -93.61, Loss: 23.66, value_loss: 34.58
Episode 271, Reward: -686.14, Average Reward: -98.02, Loss: 57.01, value_loss: 37.81
Episode 272, Reward: -879.90, Average Reward: -87.99, Loss: 84.94, value_loss: 15.32
Episode 273, Reward: -612.50, Average Reward: -87.50, Loss: 75.10, value_loss: 9.47
Episode 274, Reward: -801.30, Average Reward: -89.03, Loss: 55.81, value_loss: 12.07
Episode 275, Reward: -265.70, Average Reward: -88.57, Loss: 25.68, value_loss: 8.23
Episode 276, Reward: -359.20, Average Reward: -89.80, Loss: 46.58, value_loss: 10.84
Episode 277, Reward: -798.30, Average Reward: -88.70, Loss: 40.99, value_loss: 13.28
Episode 278, Reward: -634.20, Average Reward: -90.60, Loss: 67.00, value_loss: 14.08
Episode 279, Reward: -1042.24, Average Reward: -104.22, Loss: -5.74, value_loss: 55.43
Episode 280, Reward: -790.65, Average Reward: -98.83, Loss: 43.73, value_loss: 50.06
Episode 281, Reward: -580.88, Average Reward: -96.81, Loss: 114.56, value_loss: 53.67
Episode 282, Reward: -652.50, Average Reward: -93.21, Loss: 147.61, value_loss: 37.97
