Episode 30446, Reward: -314.10, Average Reward: -44.87, Loss: 8.19, value_loss: 22.38
Episode 30448, Reward: -201.90, Average Reward: -67.30, Loss: 3.09, value_loss: 28.36
Episode 30451, Reward: 12.39, Average Reward: 3.10, Loss: 185.61, value_loss: 364.57
Episode 30453, Reward: 0.02, Average Reward: 0.00, Loss: 39.05, value_loss: 18.04
Episode 30454, Reward: -50.30, Average Reward: -12.58, Loss: 195.66, value_loss: 388.36
Episode 30463, Reward: -499.60, Average Reward: -49.96, Loss: -3.45, value_loss: 67.45
Episode 30465, Reward: -60.60, Average Reward: -20.20, Loss: 238.78, value_loss: 480.33
Episode 30466, Reward: -172.80, Average Reward: -28.80, Loss: 5.88, value_loss: 22.73
Episode 30467, Reward: -78.00, Average Reward: -39.00, Loss: 648.75, value_loss: 1279.29
Episode 30468, Reward: -66.80, Average Reward: -11.13, Loss: 23.56, value_loss: 46.66
Episode 30469, Reward: 21.87, Average Reward: 2.73, Loss: 415.31, value_loss: 808.16
Episode 30471, Reward: -177.30, Average Reward: -29.55, Loss: -2.61, value_loss: 81.16
Episode 30473, Reward: 147.04, Average Reward: 16.34, Loss: 585.45, value_loss: 1115.15
Episode 30475, Reward: 57.60, Average Reward: 14.40, Loss: 567.60, value_loss: 1095.46
Episode 30477, Reward: -96.98, Average Reward: -13.85, Loss: 15.37, value_loss: 43.36
Episode 30478, Reward: -181.06, Average Reward: -30.18, Loss: 0.55, value_loss: 135.34
Episode 30479, Reward: -211.72, Average Reward: -26.47, Loss: 10.82, value_loss: 74.93
Episode 30485, Reward: -528.60, Average Reward: -52.86, Loss: 14.14, value_loss: 45.12
Episode 30487, Reward: -57.11, Average Reward: -19.04, Loss: 76.13, value_loss: 58.97
Episode 30488, Reward: -288.10, Average Reward: -36.01, Loss: 20.39, value_loss: 54.29
Episode 30490, Reward: -175.72, Average Reward: -25.10, Loss: 29.62, value_loss: 58.92
Episode 30491, Reward: -2.76, Average Reward: -0.28, Loss: 74.57, value_loss: 176.50
Episode 30492, Reward: -495.10, Average Reward: -49.51, Loss: 3.14, value_loss: 21.88
