Episode 331, Reward: -0.50, Average Reward: -0.08, Loss: -0.36, value_loss: 0.37
Episode 332, Reward: -0.69, Average Reward: -0.12, Loss: 0.41, value_loss: 0.17
Episode 333, Reward: -0.62, Average Reward: -0.10, Loss: 0.38, value_loss: 0.22
Episode 337, Reward: -0.66, Average Reward: -0.11, Loss: 0.25, value_loss: 0.02
Episode 338, Reward: -0.64, Average Reward: -0.11, Loss: 0.40, value_loss: 0.31
Episode 340, Reward: -0.33, Average Reward: -0.06, Loss: 0.07, value_loss: 0.64
Episode 341, Reward: -0.43, Average Reward: -0.07, Loss: 0.48, value_loss: 0.31
Episode 342, Reward: -0.65, Average Reward: -0.11, Loss: 0.34, value_loss: 0.18
Episode 343, Reward: -0.69, Average Reward: -0.11, Loss: 0.55, value_loss: 0.05
Episode 346, Reward: -0.70, Average Reward: -0.12, Loss: 0.79, value_loss: 0.03
Episode 350, Reward: -0.53, Average Reward: -0.09, Loss: 0.24, value_loss: 0.14
Episode 351, Reward: -0.28, Average Reward: -0.05, Loss: 0.30, value_loss: 0.42
Episode 353, Reward: -0.71, Average Reward: -0.12, Loss: 0.38, value_loss: 0.07
Episode 354, Reward: -0.66, Average Reward: -0.11, Loss: 0.30, value_loss: 0.08
Episode 356, Reward: -0.53, Average Reward: -0.09, Loss: -0.54, value_loss: 0.51
Episode 357, Reward: -0.69, Average Reward: -0.12, Loss: 0.40, value_loss: 0.01
Episode 359, Reward: -0.68, Average Reward: -0.11, Loss: 0.55, value_loss: 0.17
Episode 360, Reward: -0.53, Average Reward: -0.09, Loss: 0.29, value_loss: 0.10
Episode 363, Reward: -0.58, Average Reward: -0.10, Loss: -0.07, value_loss: 0.28
Episode 365, Reward: -0.73, Average Reward: -0.12, Loss: 0.42, value_loss: 0.03
Episode 368, Reward: -0.52, Average Reward: -0.09, Loss: 0.17, value_loss: 0.20
Episode 372, Reward: -0.67, Average Reward: -0.11, Loss: 0.23, value_loss: 0.06
Episode 373, Reward: -0.73, Average Reward: -0.12, Loss: 0.35, value_loss: 0.03
Episode 374, Reward: -0.69, Average Reward: -0.12, Loss: 0.20, value_loss: 0.10
Episode 376, Reward: -0.64, Average Reward: -0.11, Loss: 0.34, value_loss: 0.16
Episode 377, Reward: -0.54, Average Reward: -0.09, Loss: 0.36, value_loss: 0.06
Episode 378, Reward: -0.54, Average Reward: -0.09, Loss: 0.54, value_loss: 0.14
Episode 379, Reward: -0.65, Average Reward: -0.11, Loss: 0.25, value_loss: 0.02
Episode 380, Reward: -0.67, Average Reward: -0.11, Loss: 0.44, value_loss: 0.11
Episode 381, Reward: -0.65, Average Reward: -0.11, Loss: 0.37, value_loss: 0.06
Episode 382, Reward: -0.43, Average Reward: -0.07, Loss: 0.35, value_loss: 0.41
Episode 387, Reward: -0.43, Average Reward: -0.07, Loss: 0.25, value_loss: 0.40
Episode 388, Reward: -0.65, Average Reward: -0.11, Loss: 0.19, value_loss: 0.04
Episode 389, Reward: -0.66, Average Reward: -0.11, Loss: 0.68, value_loss: 0.11
Episode 390, Reward: -0.63, Average Reward: -0.11, Loss: 0.13, value_loss: 0.16
Episode 392, Reward: -0.56, Average Reward: -0.09, Loss: 0.35, value_loss: 0.22
Episode 393, Reward: -0.59, Average Reward: -0.10, Loss: 0.23, value_loss: 0.38
Episode 394, Reward: -0.43, Average Reward: -0.07, Loss: -0.30, value_loss: 0.41
Episode 396, Reward: -0.67, Average Reward: -0.11, Loss: 0.09, value_loss: 0.07
Episode 398, Reward: -0.74, Average Reward: -0.12, Loss: 0.42, value_loss: 0.03
Episode 399, Reward: -0.75, Average Reward: -0.12, Loss: 0.46, value_loss: 0.03
Episode 400, Reward: -0.62, Average Reward: -0.10, Loss: 0.40, value_loss: 0.16
Episode 401, Reward: -0.70, Average Reward: -0.12, Loss: 0.53, value_loss: 0.06
Episode 402, Reward: -0.74, Average Reward: -0.12, Loss: 0.45, value_loss: 0.03
Episode 403, Reward: -0.53, Average Reward: -0.09, Loss: 0.06, value_loss: 0.14
Episode 404, Reward: -0.43, Average Reward: -0.07, Loss: 0.16, value_loss: 0.67
Episode 405, Reward: -0.74, Average Reward: -0.12, Loss: 0.36, value_loss: 0.04
Episode 406, Reward: -0.14, Average Reward: -0.02, Loss: 0.45, value_loss: 0.43
Episode 408, Reward: -0.66, Average Reward: -0.11, Loss: 0.27, value_loss: 0.14
Episode 410, Reward: -0.73, Average Reward: -0.12, Loss: 0.70, value_loss: 0.04
Episode 411, Reward: -0.66, Average Reward: -0.11, Loss: 0.71, value_loss: 0.16
Episode 415, Reward: -0.64, Average Reward: -0.11, Loss: 0.10, value_loss: 0.10
Episode 416, Reward: -0.68, Average Reward: -0.11, Loss: 0.42, value_loss: 0.19
Episode 417, Reward: -0.64, Average Reward: -0.11, Loss: 0.21, value_loss: 0.04
Episode 420, Reward: -0.57, Average Reward: -0.09, Loss: 0.04, value_loss: 0.25
Episode 421, Reward: -0.60, Average Reward: -0.10, Loss: 0.04, value_loss: 0.36
Episode 422, Reward: -0.65, Average Reward: -0.11, Loss: 0.42, value_loss: 0.11
Episode 423, Reward: -0.68, Average Reward: -0.11, Loss: 0.32, value_loss: 0.21
Episode 425, Reward: -0.70, Average Reward: -0.12, Loss: 0.28, value_loss: 0.01
Episode 429, Reward: -0.62, Average Reward: -0.10, Loss: 0.23, value_loss: 0.06
Episode 431, Reward: -0.56, Average Reward: -0.09, Loss: 0.39, value_loss: 0.15
Episode 432, Reward: -0.69, Average Reward: -0.12, Loss: 0.24, value_loss: 0.04
Episode 433, Reward: -0.64, Average Reward: -0.11, Loss: 0.44, value_loss: 0.10
Episode 440, Reward: -0.70, Average Reward: -0.12, Loss: 0.51, value_loss: 0.06
Episode 442, Reward: -0.38, Average Reward: -0.06, Loss: 0.03, value_loss: 0.37
Episode 443, Reward: -0.50, Average Reward: -0.08, Loss: 0.50, value_loss: 0.36
